Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CLAN3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-1,05%",0,"1.012.240.000,00",0,"-63,96%"
MNSA3,"0,42",0,0,0,"0,00%",0,0,0,0,0,0,"-208,15%","-362,66%","3,63","-13,50%","145,70%",0,"-9.105.000,00","-6,52","-41,11%"
CSTB3,150,0,0,0,"0,00%",0,0,0,0,0,0,"40,85%","28,98%","2,6","22,40%","20,11%",0,"8.420.670.000,00","0,14","31,91%"
IVTT3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-0,40%",0,"1.083.050.000,00",0,"20,67%"
PMET3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","4,10%",0,"-290.863.000,00",0,"37,74%"
MNSA4,"0,47",0,0,0,"0,00%",0,0,0,0,0,0,"-208,15%","-362,66%","3,63","-13,50%","145,70%",0,"-9.105.000,00","-6,52","-41,11%"
POPR4,"10,17",0,0,0,"0,00%",0,0,0,0,0,0,"8,66%","5,65%","1,08","15,25%","19,93%",0,"545.803.000,00","0,82","30,93%"
CSTB4,"147,69",0,0,0,"0,00%",0,0,0,0,0,0,"40,85%","28,98%","2,6","22,40%","20,11%",0,"8.420.670.000,00","0,14","31,91%"
CFLU4,"1.000,00",0,0,0,"0,00%",0,0,0,0,0,0,"8,88%","10,72%","1,1","17,68%","32,15%",0,"60.351.000,00","0,06","8,14%"
PORP4,"2,4",0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-2,08%",0,"22.399.000,00",0,"13,66%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,39%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%",0,"7.116.080.000,00","0,53","25,23%"
AESB3,"9,08","-1.342,87","1,31","1,941","0,97%","0,362","1,84","10,73","-0,97","19,43","9,84","18,10%","5,37%","3,63","4,48%","-0,10%","21.547.900,00","4.175.170.000,00","1,89","130,24%"
PLDN4,486,"-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,1","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%",0,"289.939.000,00","0,01","10,26%"
LCSA4,"35,09","-337,52",-228,"79,738","0,00%","125,308","-202,27","-505,8","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%",0,"-377.568.000,00","-0,35","6354,07%"
ONCO3,"6,37","-331,88","1,58","0,872","0,00%","0,436","5,15","9,19","-1,2","16,11","10,85","9,49%","1,09%","1,42","5,57%","-0,47%","8.147.130,00","2.014.190.000,00","1,48","0,00%"
GLOB4,"30,49","-324,91","8,85","1,615","0,00%","1,432","-13,81","22,85","-3,66","26,64","17,54","7,07%","-0,50%","0,81","8,30%","-2,72%",0,"5.505.000.000,00","1,69","4,75%"
RAIL3,"17,15","-286,75","2,11","3,481","0,11%","0,699","6,92","14,38","-1,58","18,99","10,06","24,21%","-1,24%","1,83","5,77%","-0,74%","266.195.000,00","15.061.000.000,00","1,11","7,70%"
